date,GBP
2011-09-08,0.8767
2011-09-09,0.8659
2011-09-12,0.86015
2011-09-13,0.86315
2011-09-14,0.8695
2011-09-15,0.87295
2011-09-16,0.8717
2011-09-19,0.8681
2011-09-20,0.8723
2011-09-21,0.8731
2011-09-22,0.87325
2011-09-23,0.87235
2011-09-26,0.8696
2011-09-27,0.8698
2011-09-28,0.87175
2011-09-29,0.87065
2011-09-30,0.86665
2011-10-03,0.8596
2011-10-04,0.8565
2011-10-05,0.863
2011-10-06,0.8668
2011-10-07,0.8648
2011-10-10,0.8689
2011-10-11,0.8702
2011-10-12,0.87535
2011-10-13,0.87585
2011-10-14,0.8748
2011-10-17,0.874
2011-10-18,0.8702
2011-10-19,0.87495
2011-10-20,0.875
2011-10-21,0.86775
2011-10-24,0.8691
2011-10-25,0.8701
2011-10-26,0.8719
2011-10-27,0.8763
2011-10-28,0.87935
2011-10-31,0.8731
2011-11-01,0.85515
2011-11-02,0.8619
2011-11-03,0.8593
2011-11-04,0.86125
2011-11-07,0.85655
2011-11-08,0.85805
2011-11-09,0.85385
2011-11-10,0.85335
2011-11-11,0.8568
2011-11-14,0.8566
2011-11-15,0.85345
2011-11-16,0.8543
2011-11-17,0.854
2011-11-18,0.85805
2011-11-21,0.86
2011-11-22,0.8657
2011-11-23,0.8603
2011-11-24,0.8606
2011-11-25,0.85585
2011-11-28,0.8582
2011-11-29,0.85365
2011-11-30,0.8558
2011-12-01,0.8591
2011-12-02,0.8602
2011-12-05,0.85925
2011-12-06,0.85655
2011-12-07,0.85745
2011-12-08,0.8528
2011-12-09,0.85315
2011-12-12,0.848
2011-12-13,0.84625
2011-12-14,0.839
2011-12-15,0.83935
2011-12-16,0.84055
2011-12-19,0.8398
2011-12-20,0.8368
2011-12-21,0.8323
2011-12-22,0.8325
2011-12-23,0.8331
2011-12-27,0.8335
2011-12-28,0.8342
2011-12-29,0.836
2011-12-30,0.8353
2012-01-02,0.83514
2012-01-03,0.8351
2012-01-04,0.8311
2012-01-05,0.82675
2012-01-06,0.8264
2012-01-09,0.824
2012-01-10,0.8282
2012-01-11,0.8259
2012-01-12,0.83055
2012-01-13,0.8332
2012-01-16,0.82745
2012-01-17,0.83045
2012-01-18,0.83385
2012-01-19,0.8356
2012-01-20,0.8339
2012-01-23,0.83625
2012-01-24,0.8346
2012-01-25,0.83205
2012-01-26,0.838
2012-01-27,0.83685
2012-01-30,0.8358
2012-01-31,0.8351
2012-02-01,0.8312
2012-02-02,0.82765
2012-02-03,0.8322
2012-02-06,0.8281
2012-02-07,0.8302
2012-02-08,0.83495
2012-02-09,0.83665
2012-02-10,0.8363
2012-02-13,0.83885
2012-02-14,0.83765
2012-02-15,0.8348
2012-02-16,0.82845
2012-02-17,0.8311
2012-02-20,0.8364
2012-02-21,0.8364
2012-02-22,0.8442
2012-02-23,0.8461
2012-02-24,0.84815
2012-02-27,0.845
2012-02-28,0.8479
2012-02-29,0.8439
2012-03-01,0.8349
2012-03-02,0.8327
2012-03-05,0.83465
2012-03-06,0.83255
2012-03-07,0.8349
2012-03-08,0.83865
2012-03-09,0.83595
2012-03-12,0.8392
2012-03-13,0.83575
2012-03-14,0.8314
2012-03-15,0.83345
2012-03-16,0.8295
2012-03-19,0.82845
2012-03-20,0.8322
2012-03-21,0.83495
2012-03-22,0.8333
2012-03-23,0.8363
2012-03-26,0.8352
2012-03-27,0.8359
2012-03-28,0.839
2012-03-29,0.8358
2012-03-30,0.8339
2012-04-02,0.83105
2012-04-03,0.83255
2012-04-04,0.8285
2012-04-05,0.8242
2012-04-10,0.8269
2012-04-11,0.82595
2012-04-12,0.8247
2012-04-13,0.8248
2012-04-16,0.8227
2012-04-17,0.8234
2012-04-18,0.81915
2012-04-19,0.8171
2012-04-20,0.81875
2012-04-23,0.8166
2012-04-24,0.8154
2012-04-25,0.8194
2012-04-26,0.8164
2012-04-27,0.8153
2012-04-30,0.81295
2012-05-02,0.81205
2012-05-03,0.81125
2012-05-04,0.81195
2012-05-07,0.80647
2012-05-08,0.80645
2012-05-09,0.80495
2012-05-10,0.8018
2012-05-11,0.8033
2012-05-14,0.8
2012-05-15,0.8001
2012-05-16,0.79925
2012-05-17,0.8008
2012-05-18,0.8042
2012-05-21,0.8075
2012-05-22,0.8087
2012-05-23,0.8044
2012-05-24,0.80095
2012-05-25,0.8003
2012-05-28,0.8001
2012-05-29,0.7994
2012-05-30,0.79775
2012-05-31,0.7999
2012-06-01,0.805
2012-06-04,0.80845
2012-06-05,0.81005
2012-06-06,0.8063
2012-06-07,0.8086
2012-06-08,0.80795
2012-06-11,0.8077
2012-06-12,0.80385
2012-06-13,0.8063
2012-06-14,0.8092
2012-06-15,0.8119
2012-06-18,0.806
2012-06-19,0.8052
2012-06-20,0.806
2012-06-21,0.80695
2012-06-22,0.8042
2012-06-25,0.80285
2012-06-26,0.7996
2012-06-27,0.7999
2012-06-28,0.79885
2012-06-29,0.8068
2012-07-02,0.8041
2012-07-03,0.80275
2012-07-04,0.8032
2012-07-05,0.7984
2012-07-06,0.7965
2012-07-09,0.7936
2012-07-10,0.7921
2012-07-11,0.78815
2012-07-12,0.7886
2012-07-13,0.7875
2012-07-16,0.7844
2012-07-17,0.78615
2012-07-18,0.784
2012-07-19,0.783
2012-07-20,0.77835
2012-07-23,0.7798
2012-07-24,0.7785
2012-07-25,0.7832
2012-07-26,0.7828
2012-07-27,0.78295
2012-07-30,0.77985
2012-07-31,0.78395
2012-08-01,0.7875
2012-08-02,0.7904
2012-08-03,0.78745
2012-08-06,0.795
2012-08-07,0.7934
2012-08-08,0.7888
2012-08-09,0.7871
2012-08-10,0.7861
2012-08-13,0.78615
2012-08-14,0.786
2012-08-15,0.7826
2012-08-16,0.78195
2012-08-17,0.78515
2012-08-20,0.78345
2012-08-21,0.78835
2012-08-22,0.78785
2012-08-23,0.7911
2012-08-24,0.7896
2012-08-27,0.79244
2012-08-28,0.7947
2012-08-29,0.7918
2012-08-30,0.7911
2012-08-31,0.79525
2012-09-03,0.7912
2012-09-04,0.7921
2012-09-05,0.79035
2012-09-06,0.7936
2012-09-07,0.7967
2012-09-10,0.7997
2012-09-11,0.7978
2012-09-12,0.8017
2012-09-13,0.80145
2012-09-14,0.80745
2012-09-17,0.80695
2012-09-18,0.8035
2012-09-19,0.8027
2012-09-20,0.80017
2012-09-21,0.7987
2012-09-24,0.7968
2012-09-25,0.7965
2012-09-26,0.7949
2012-09-27,0.7939
2012-09-28,0.79805
2012-10-01,0.7983
2012-10-02,0.8006
2012-10-03,0.80085
2012-10-04,0.80395
2012-10-05,0.80325
2012-10-08,0.8084
2012-10-09,0.8079
2012-10-10,0.80495
2012-10-11,0.80525
2012-10-12,0.8065
2012-10-15,0.80745
2012-10-16,0.8097
2012-10-17,0.8115
2012-10-18,0.8119
2012-10-19,0.81275
2012-10-22,0.8145
2012-10-23,0.81365
2012-10-24,0.8083
2012-10-25,0.8049
2012-10-26,0.8012
2012-10-29,0.80455
2012-10-30,0.8062
2012-10-31,0.80645
2012-11-01,0.80315
2012-11-02,0.8016
2012-11-05,0.7999
2012-11-06,0.80095
2012-11-07,0.7984
2012-11-08,0.79655
2012-11-09,0.79725
2012-11-12,0.802
2012-11-13,0.79965
2012-11-14,0.8026
2012-11-15,0.80545
2012-11-16,0.80245
2012-11-19,0.8032
